Type,Size,Trigger,Design,Has_CTA,Position,Content_Type,Category
Banner,Medium,Timer,Flat,No,Bottom Left,Discount,Less Well-Defined
Dialog,Medium,Exit Intent,Soft,Yes,Bottom Right,Alert,Well-Defined
Dialog,Large,Exit Intent,Clean,Yes,Full Page,Alert,Well-Defined
Exit Popup,Small,Hover,Aggressive,Yes,Top,Help,Ambiguous
Slide-in,Medium,On Load,Flat,No,Bottom Left,Discount,Less Well-Defined
Floating Box,Small,Hover,Intrusive,No,Top,Survey,Ambiguous
Banner,Medium,On Load,Bold,Yes,Top,Ad,Well-Defined
Floating Box,Thin,Hover,Intrusive,No,Top,Survey,Ambiguous
Dialog,Medium,On Load,Simple,No,Bottom,Discount,Less Well-Defined
Exit Popup,Small,Timer,Aggressive,Yes,Center,Survey,Ambiguous
Exit Popup,Thin,Page Load,Aggressive,Yes,Center,Ad,Less Well-Defined
Notification Bar,Small,Timer,Bold,No,Bottom Left,Newsletter,Less Well-Defined
Slide-in,Medium,Hover,Basic,Yes,Top Right,Ad,Ambiguous
Floating Box,Thin,Hover,Basic,No,Top Right,Survey,Ambiguous
Exit Popup,Medium,Page Load,Intrusive,No,Center,Ad,Ambiguous
Notification Bar,Medium,Hover,Simple,Yes,Top Left,Newsletter,Less Well-Defined
Exit Popup,Small,Timer,Intrusive,Yes,Center,Help,Ambiguous
Banner,Medium,On Load,Bold,No,Bottom Left,Discount,Less Well-Defined
Notification Bar,Small,On Load,Clean,Yes,Top Left,Help,Less Well-Defined
Dialog,Small,Timer,Simple,Yes,Bottom,Discount,Less Well-Defined
Dialog,Large,Exit Intent,Clean,No,Full Page,Ad,Well-Defined
Modal,Large,Exit Intent,Soft,Yes,Full Page,Alert,Well-Defined
Fullscreen,Medium,Scroll,Modern,No,Full Page,Ad,Well-Defined
Fullscreen,Large,On Load,Soft,Yes,Center,Recommendation,Well-Defined
Modal,Large,Exit Intent,Clean,No,Full Page,Alert,Well-Defined
Modal,Medium,Click,Soft,Yes,Bottom Right,Offer,Well-Defined
Banner,Medium,On Load,Bold,Yes,Top Left,Discount,Less Well-Defined
Tooltip,Thin,Hover,Basic,No,Top Right,Survey,Well-Defined
Slide-in,Small,Timer,Simple,Yes,Top Left,Newsletter,Less Well-Defined
Exit Popup,Thin,Hover,Aggressive,Yes,Top Right,Reminder,Ambiguous
Exit Popup,Thin,Hover,Intrusive,No,Top,Help,Ambiguous
Notification Bar,Small,On Load,Flat,Yes,Bottom Left,Newsletter,Less Well-Defined
Exit Popup,Small,Hover,Aggressive,Yes,Top Right,Survey,Ambiguous
Banner,Medium,Click,Soft,Yes,Top,Ad,Well-Defined
Floating Box,Medium,Page Load,Basic,No,Top,Help,Ambiguous
Fullscreen,Large,On Load,Soft,Yes,Top,Recommendation,Well-Defined
Dialog,Medium,On Load,Soft,Yes,Bottom Right,Ad,Well-Defined
Fullscreen,Large,Scroll,Clean,Yes,Bottom Right,Offer,Well-Defined
Fullscreen,Large,Scroll,Clean,No,Center,Alert,Well-Defined
Tooltip,Thin,Hover,Basic,Yes,Center,Help,Well-Defined
Notification Bar,Small,On Load,Simple,No,Top Left,Offer,Less Well-Defined
Dialog,Large,Click,Clean,No,Full Page,Alert,Well-Defined
Dialog,Large,On Load,Clean,No,Full Page,Recommendation,Well-Defined
Modal,Medium,Click,Clean,No,Center,Ad,Well-Defined
Notification Bar,Small,On Load,Bold,No,Bottom Left,Discount,Less Well-Defined
Tooltip,Thin,Page Load,Flat,Yes,Top Right,Ad,Less Well-Defined
Notification Bar,Medium,Timer,Bold,No,Top Left,Offer,Less Well-Defined
Slide-in,Small,Timer,Flat,Yes,Bottom Left,Discount,Less Well-Defined
Dialog,Large,On Load,Soft,No,Bottom Right,Ad,Well-Defined
Dialog,Large,Scroll,Soft,Yes,Center,Ad,Well-Defined
Floating Box,Small,Hover,Flat,No,Top,Ad,Ambiguous
Floating Box,Medium,Page Load,Aggressive,No,Top Right,Reminder,Ambiguous
Fullscreen,Large,Scroll,Bold,No,Full Page,Ad,Well-Defined
Exit Popup,Thin,Page Load,Intrusive,Yes,Top,Survey,Ambiguous
Dialog,Large,Exit Intent,Bold,No,Top,Offer,Well-Defined
Dialog,Small,Timer,Clean,Yes,Bottom,Help,Less Well-Defined
Notification Bar,Medium,Timer,Bold,No,Top Left,Newsletter,Less Well-Defined
Fullscreen,Medium,On Load,Soft,No,Center,Offer,Well-Defined
Banner,Small,Timer,Bold,Yes,Bottom Left,Discount,Less Well-Defined
Slide-in,Medium,Timer,Flat,Yes,Top Right,Reminder,Ambiguous
Tooltip,Small,Timer,Basic,Yes,Center,Reminder,Ambiguous
Modal,Large,Click,Modern,No,Center,Ad,Well-Defined
Banner,Medium,On Load,Clean,Yes,Full Page,Offer,Well-Defined
Exit Popup,Small,Hover,Basic,Yes,Top,Help,Ambiguous
Notification Bar,Small,On Load,Flat,Yes,Bottom Left,Newsletter,Less Well-Defined
Tooltip,Thin,Page Load,Aggressive,Yes,Top,Reminder,Ambiguous
Slide-in,Small,Timer,Bold,No,Bottom,Discount,Less Well-Defined
Slide-in,Thin,Timer,Aggressive,Yes,Top,Reminder,Ambiguous
Notification Bar,Small,Hover,Bold,Yes,Top Left,Offer,Less Well-Defined
Modal,Large,Exit Intent,Soft,Yes,Center,Ad,Well-Defined
Notification Bar,Medium,On Load,Bold,No,Bottom Left,Offer,Less Well-Defined
Banner,Medium,Scroll,Bold,No,Bottom Right,Ad,Well-Defined
Dialog,Large,On Load,Bold,Yes,Center,Alert,Well-Defined
Tooltip,Thin,Page Load,Intrusive,Yes,Center,Help,Well-Defined
Slide-in,Small,Timer,Bold,No,Bottom Left,Offer,Less Well-Defined
Floating Box,Small,Hover,Flat,No,Top Right,Reminder,Ambiguous
Notification Bar,Medium,Hover,Simple,No,Top Left,Discount,Less Well-Defined
Floating Box,Thin,Hover,Basic,Yes,Top Right,Survey,Ambiguous
Slide-in,Medium,Timer,Intrusive,Yes,Center,Help,Ambiguous
Tooltip,Small,Page Load,Flat,Yes,Top,Ad,Ambiguous
Banner,Medium,On Load,Bold,Yes,Top Left,Offer,Less Well-Defined
Slide-in,Medium,On Load,Bold,Yes,Bottom Left,Offer,Less Well-Defined
Slide-in,Medium,Timer,Flat,No,Center,Help,Ambiguous
Exit Popup,Medium,Page Load,Aggressive,Yes,Top,Help,Ambiguous
Tooltip,Small,Hover,Aggressive,No,Top,Reminder,Ambiguous
Dialog,Large,Scroll,Clean,Yes,Center,Ad,Well-Defined
Fullscreen,Medium,Click,Soft,Yes,Full Page,Ad,Less Well-Defined
Fullscreen,Large,On Load,Modern,Yes,Top,Ad,Well-Defined
Banner,Small,On Load,Simple,No,Top Left,Newsletter,Less Well-Defined
Slide-in,Medium,Page Load,Basic,No,Top,Ad,Ambiguous
Notification Bar,Small,On Load,Simple,Yes,Top Left,Newsletter,Less Well-Defined
Slide-in,Small,Hover,Flat,Yes,Bottom Left,Discount,Less Well-Defined
Modal,Large,Click,Clean,Yes,Center,Recommendation,Well-Defined
Banner,Medium,Hover,Simple,Yes,Top Left,Help,Less Well-Defined
Exit Popup,Thin,Page Load,Intrusive,Yes,Top Right,Survey,Ambiguous
Notification Bar,Small,Timer,Bold,No,Bottom Left,Discount,Less Well-Defined
Floating Box,Medium,Timer,Intrusive,No,Top,Ad,Ambiguous
Slide-in,Small,On Load,Bold,Yes,Top Left,Newsletter,Less Well-Defined
Notification Bar,Small,Hover,Clean,Yes,Bottom Left,Discount,Less Well-Defined
